date,finra_D,finra_CC,finra_CM,vix_index,sp500_index,m2_money_supply,federal_funds_rate,market_cap
2025-09-01,1126494,204106,194884.0,15.359999656677246,6460.259765625,22108.4,4.33,2584103.90625
2025-08-01,1059723,188221,181563.0,16.719999313354492,6339.39013671875,22028.8,4.33,2535756.0546875
2025-07-01,1022548,194712,186672.0,16.729999542236328,6204.9501953125,21942.4,4.33,2481980.078125
2025-06-01,1007961,200573,185584.0,18.56999969482422,5911.68994140625,21827.4,4.33,2364675.9765625
2025-05-01,920960,187685,176698.0,24.700000762939453,5569.06005859375,21770.5,4.33,2227624.0234375
2025-04-01,850558,187958,175824.0,22.280000686645508,5611.85009765625,21636.8,4.33,2244740.0390625
2025-03-01,880316,189855,176161.0,19.6299991607666,5954.5,21564.6,4.33,2381800.0
2025-02-01,918144,183278,176051.0,16.43000030517578,6040.52978515625,21492.4,4.33,2416211.9140625
2025-01-01,937253,178301,166346.0,17.350000381469727,5881.6298828125,21424.5,4.33,2352651.953125
2024-12-01,899168,181280,175795.0,13.510000228881836,6032.3798828125,21407.9,4.58,2412951.953125
2024-11-01,890852,170052,167223.0,23.15999984741211,5705.4501953125,21308.1,4.83,2282180.078125
2024-10-01,815369,173621,164813.0,16.729999542236328,5762.47998046875,21257.5,4.83,2304991.9921875
2024-09-01,813211,167901,158358.0,15.0,5648.39990234375,21171.1,5.33,2259359.9609375
2024-08-01,797162,148702,152107.0,16.360000610351562,5522.2998046875,21084.2,5.33,2208919.921875
2024-07-01,810835,154951,150738.0,12.4399995803833,5460.47998046875,21052.9,5.33,2184191.9921875
2024-06-01,809322,157240,149714.0,12.920000076293945,5277.509765625,20989.4,5.33,2111003.90625
2024-05-01,809431,155256,145072.0,15.649999618530273,5035.68994140625,20928.9,5.33,2014275.9765625
2024-04-01,775464,161749,149855.0,13.010000228881836,5254.35009765625,20900.8,5.33,2101740.0390625
2024-03-01,784136,166990,151339.0,13.399999618530273,5096.27001953125,20861.0,5.33,2038508.0078125
2024-02-01,742963,166144,150620.0,14.350000381469727,4845.64990234375,20773.1,5.33,1938259.9609375
2024-01-01,701975,165025,144941.0,12.449999809265137,4769.830078125,20701.3,5.33,1907932.03125
2023-12-01,700774,161639,147019.0,12.920000076293945,4567.7998046875,20696.7,5.33,1827119.921875
2023-11-01,660887,171207,146319.0,18.139999389648438,4193.7998046875,20687.3,5.33,1677519.921875
2023-10-01,635276,162865,142117.0,17.520000457763672,4288.0498046875,20720.4,5.33,1715219.921875
2023-09-01,680846,153918,141751.0,13.569999694824219,4507.66015625,20746.9,5.33,1803064.0625
2023-08-01,689185,177711,145989.0,13.630000114440918,4588.9599609375,20772.1,5.33,1835583.984375
2023-07-01,709834,174804,147921.0,13.59000015258789,4450.3798828125,20782.7,5.08,1780151.953125
2023-06-01,681228,181569,145173.0,17.940000534057617,4179.830078125,20801.1,5.08,1671932.03125
2023-05-01,644170,178576,147377.0,15.779999732971191,4169.47998046875,20729.8,4.83,1667791.9921875
2023-04-01,631949,175460,145594.0,18.700000762939453,4109.31005859375,20876.1,4.83,1643724.0234375
2023-03-01,645429,191618,152014.0,20.700000762939453,3970.14990234375,21184.5,4.57,1588059.9609375
2023-02-01,624379,198644,159103.0,19.399999618530273,4076.60009765625,21205.2,4.33,1630640.0390625
2023-01-01,641228,208720,161224.0,21.670000076293945,3839.5,21219.0,4.33,1535800.0
2022-12-01,606659,205902,164065.0,20.579999923706055,4080.110107421875,21358.1,3.83,1632044.04296875
2022-11-01,643783,205158,165434.0,25.8799991607666,3871.97998046875,21424.4,3.08,1548791.9921875
2022-10-01,649618,216057,172976.0,31.6200008392334,3585.6201171875,21521.0,3.08,1434248.046875
2022-09-01,664009,223400,173050.0,25.8700008392334,3955.0,21606.8,2.33,1582000.0
2022-08-01,687787,226182,175974.0,21.329999923706055,4130.2900390625,21641.7,2.32,1652116.015625
2022-07-01,696781,232147,177054.0,28.709999084472656,3785.3798828125,21642.8,1.58,1514151.953125
2022-06-01,683445,249399,186931.0,26.190000534057617,4132.14990234375,21690.7,0.83,1652859.9609375
2022-05-01,752944,244857,184151.0,33.400001525878906,4131.93017578125,21749.9,0.33,1652772.0703125
2022-04-01,772940,242724,188652.0,20.559999465942383,4530.41015625,21721.3,0.33,1812164.0625
2022-03-01,799660,256076,196008.0,30.149999618530273,4373.93994140625,21684.9,0.08,1749575.9765625
2022-02-01,835255,250686,195269.0,24.829999923706055,4515.5498046875,21587.3,0.08,1806219.921875
2022-01-01,829637,247752,194545.0,17.219999313354492,4766.18017578125,21471.0,0.07,1906472.0703125
2021-12-01,910021,250435,215116.0,27.190000534057617,4567.0,21316.6,0.07,1826800.0
2021-11-01,918598,235638,211623.0,16.260000228881836,4605.3798828125,21142.1,0.07,1842151.953125
2021-10-01,935862,226159,200548.0,23.139999389648438,4307.5400390625,20979.1,0.06,1723016.015625
2021-09-01,903117,229279,205564.0,16.479999542236328,4522.68017578125,20811.0,0.06,1809072.0703125
2021-08-01,911545,219365,198913.0,18.239999771118164,4395.259765625,20628.1,0.07,1758103.90625
2021-07-01,844324,215463,195762.0,15.829999923706055,4297.5,20472.9,0.08,1719000.0
2021-06-01,882103,221862,239290.0,16.760000228881836,4204.10986328125,20430.5,0.05,1681643.9453125
2021-05-01,861626,213356,234992.0,18.610000610351562,4181.169921875,20161.5,0.05,1672467.96875
2021-04-01,847186,218132,233145.0,19.399999618530273,3972.889892578125,19823.2,0.06,1589155.95703125
2021-03-01,822551,219522,237154.0,27.950000762939453,3811.14990234375,19596.5,0.07,1524459.9609375
2021-02-01,813680,220840,240481.0,33.09000015258789,3714.239990234375,19359.5,0.07,1485695.99609375
2021-01-01,798605,224133,241220.0,22.75,3756.070068359375,19133.0,0.09,1502428.02734375
2020-12-01,778037,224987,227127.0,20.56999969482422,3621.6298828125,18978.9,0.09,1448651.953125
2020-11-01,722118,200723,221567.0,38.02000045776367,3269.9599609375,18751.1,0.09,1307983.984375
2020-10-01,659313,193293,217739.0,26.3700008392334,3363.0,18596.4,0.09,1345200.0
2020-09-01,654324,189462,211547.0,26.40999984741211,3500.31005859375,18364.1,0.09,1400124.0234375
2020-08-01,645547,185113,215042.0,24.459999084472656,3271.1201171875,18297.7,0.1,1308448.046875
2020-07-01,613830,181420,223768.0,30.43000030517578,3100.2900390625,18140.6,0.08,1240116.015625
2020-06-01,584676,185497,229078.0,27.510000228881836,3044.31005859375,17852.9,0.05,1217724.0234375
2020-05-01,552543,175794,210935.0,34.150001525878906,2912.429931640625,17005.4,0.05,1164971.97265625
2020-04-01,524696,180942,217187.0,53.540000915527344,2584.590087890625,15993.4,0.08,1033836.03515625
2020-03-01,479291,191046,226202.0,40.11000061035156,2954.219970703125,15466.6,1.58,1181687.98828125
2020-02-01,545127,163001,197716.0,18.84000015258789,3225.52001953125,15416.3,1.59,1290208.0078125
2020-01-01,561812,152854,186847.0,13.779999732971191,3230.780029296875,15347.6,1.55,1292312.01171875
2019-12-01,579221,151543,186315.0,12.619999885559082,3140.97998046875,15276.4,1.56,1256391.9921875
2019-11-01,563482,146935,186866.0,13.220000267028809,3037.56005859375,15166.9,1.58,1215024.0234375
2019-10-01,554604,145650,183966.0,16.239999771118164,2976.739990234375,15031.0,1.9,1190695.99609375
2019-09-01,555910,150648,187887.0,18.979999542236328,2926.4599609375,14934.3,2.13,1170583.984375
2019-08-01,564894,135567,181451.0,16.1200008392334,2980.3798828125,14853.1,2.4,1192151.953125
2019-07-01,602139,138703,182613.0,15.079999923706055,2941.760009765625,14771.0,2.4,1176704.00390625
2019-06-01,596304,139826,179542.0,18.709999084472656,2752.06005859375,14652.0,2.4,1100824.0234375
2019-05-01,568751,137489,179019.0,13.119999885559082,2945.830078125,14554.2,2.45,1178332.03125
2019-04-01,588721,143802,178523.0,13.710000038146973,2834.39990234375,14525.9,2.43,1133759.9609375
2019-03-01,574013,141074,180765.0,14.779999732971191,2784.489990234375,14480.8,2.4,1113795.99609375
2019-02-01,581205,149686,181955.0,16.56999969482422,2704.10009765625,14445.7,2.4,1081640.0390625
2019-01-01,568433,151804,186050.0,25.420000076293945,2506.85009765625,14382.3,2.4,1002740.0390625
2018-12-01,554285,159572,190743.0,18.06999969482422,2760.169921875,14260.5,2.2,1104067.96875
2018-11-01,592593,146452,178810.0,21.229999542236328,2711.739990234375,14241.1,2.2,1084695.99609375
2018-10-01,607645,148037,183432.0,12.119999885559082,2913.97998046875,14229.1,2.18,1165591.9921875
2018-09-01,648126,151384,188152.0,12.859999656677246,2901.52001953125,14193.6,1.91,1160608.0078125
2018-08-01,652395,148873,178601.0,12.829999923706055,2816.2900390625,14143.9,1.91,1126516.015625
2018-07-01,652790,148947,178299.0,16.09000015258789,2718.3701171875,14109.7,1.91,1087348.046875
2018-06-01,646931,157150,179399.0,15.430000305175781,2705.27001953125,14049.4,1.7,1082108.0078125
2018-05-01,668940,155344,181890.0,15.930000305175781,2648.050048828125,13993.7,1.69,1059220.01953125
2018-04-01,652303,155989,179410.0,19.969999313354492,2640.8701171875,13975.8,1.67,1056348.046875
2018-03-01,645235,166148,180751.0,19.850000381469727,2713.830078125,13919.0,1.35,1085532.03125
2018-02-01,645064,164657,183267.0,13.539999961853027,2823.81005859375,13882.9,1.34,1129524.0234375
2018-01-01,665716,168450,181763.0,11.039999961853027,2673.610107421875,13873.5,1.33,1069444.04296875
2017-12-01,642798,172999,182773.0,11.279999732971191,2647.580078125,13814.6,1.07,1059032.03125
2017-11-01,627422,170948,185312.0,10.180000305175781,2575.260009765625,13782.0,1.07,1030104.00390625
2017-10-01,607838,169368,184047.0,9.510000228881836,2519.360107421875,13722.7,1.06,1007744.04296875
2017-09-01,606334,172872,183599.0,10.59000015258789,2471.64990234375,13674.3,1.07,988659.9609375
2017-08-01,596567,170524,183744.0,10.260000228881836,2470.300048828125,13615.1,1.07,988120.01953125
2017-07-01,594414,173195,184246.0,11.180000305175781,2423.409912109375,13558.1,1.06,969363.96484375
2017-06-01,584258,176707,187500.0,10.40999984741211,2411.800048828125,13536.4,0.83,964720.01953125
2017-05-01,582764,176970,185463.0,10.819999694824219,2384.199951171875,13484.4,0.83,953679.98046875
2017-04-01,590797,180908,184930.0,12.369999885559082,2362.719970703125,13428.4,0.82,945087.98828125
2017-03-01,577674,186892,184977.0,12.920000076293945,2363.639892578125,13367.0,0.57,945455.95703125
2017-02-01,568637,185720,184598.0,11.989999771118164,2278.8701171875,13300.3,0.56,911548.046875
2017-01-01,553557,186301,186029.0,14.039999961853027,2238.830078125,13225.8,0.55,895532.03125
2016-12-01,529372,188062,189979.0,13.329999923706055,2198.81005859375,13180.6,0.31,879524.0234375
2016-11-01,539972,179598,187085.0,17.059999465942383,2126.14990234375,13107.1,0.31,850459.9609375
2016-10-01,523760,182051,182986.0,13.289999961853027,2168.27001953125,13033.8,0.29,867308.0078125
2016-09-01,540615,184757,182833.0,13.420000076293945,2170.949951171875,12973.6,0.3,868379.98046875
2016-08-01,510157,177764,185695.0,11.869999885559082,2173.60009765625,12889.3,0.3,869440.0390625
2016-07-01,513221,183435,188155.0,15.630000114440918,2098.860107421875,12835.1,0.3,839544.04296875
2016-06-01,487636,186233,189585.0,14.1899995803833,2096.949951171875,12774.6,0.29,838779.98046875
2016-05-01,489867,177161,187495.0,15.699999809265137,2065.300048828125,12707.6,0.3,826120.01953125
2016-04-01,495178,176016,187000.0,13.949999809265137,2059.739990234375,12628.6,0.25,823895.99609375
2016-03-01,483909,182673,172525.0,20.549999237060547,1932.22998046875,12577.7,0.29,772891.9921875
2016-02-01,474156,178989,168308.0,20.200000762939453,1940.239990234375,12505.5,0.29,776095.99609375
2016-01-01,487200,180616,162825.0,18.209999084472656,2043.93994140625,12368.2,0.2,817575.9765625
2015-12-01,503444,181812,159677.0,16.1299991607666,2080.409912109375,12296.9,0.08,832163.96484375
2015-11-01,515410,174607,165584.0,15.069999694824219,2079.360107421875,12205.6,0.07,831744.04296875
2015-10-01,513941,174437,163210.0,24.5,1920.030029296875,12154.3,0.07,768012.01171875
2015-09-01,497279,173760,167132.0,28.43000030517578,1972.1800537109375,12093.1,0.08,788872.021484375
2015-08-01,515960,175647,168692.0,12.119999885559082,2103.840087890625,12048.3,0.08,841536.03515625
2015-07-01,530744,168659,169132.0,18.229999542236328,2063.110107421875,12004.6,0.08,825244.04296875
2015-06-01,547957,170614,168441.0,13.84000015258789,2107.389892578125,11964.2,0.08,842955.95703125
2015-05-01,541671,166334,169076.0,14.550000190734863,2085.510009765625,11936.7,0.08,834204.00390625
2015-04-01,549964,168430,167073.0,15.289999961853027,2067.889892578125,11902.8,0.06,827155.95703125
2015-03-01,518055,171625,170074.0,13.34000015258789,2104.5,11904.7,0.06,841800.0
2015-02-01,504923,168371,170930.0,20.969999313354492,1994.989990234375,11787.8,0.06,797995.99609375
2015-01-01,485872,163599,178259.0,19.200000762939453,2058.89990234375,11701.0,0.06,823559.9609375
2014-12-01,495756,169295,181223.0,13.329999923706055,2067.56005859375,11617.3,0.08,827024.0234375
2014-11-01,496341,158420,184227.0,14.029999732971191,2018.050048828125,11576.6,0.07,807220.01953125
2014-10-01,492888,158624,185193.0,16.309999465942383,1972.2900390625,11502.8,0.07,788916.015625
